Neighborhoods,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Alanton,36.88265000000007,-76.02187999999995,4.0,Comedy Club,Yoga Studio,Food,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Diner,Discount Store
Aragona Village,36.84877000000006,-76.14937999999995,5.0,Skating Rink,Storage Facility,Yoga Studio,Fast Food Restaurant,Concert Hall,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop
Bay Colony,36.87811000000005,-76.00682999999998,0.0,American Restaurant,Harbor / Marina,Garden,Yoga Studio,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop
Bayside,36.902120000000025,-76.13306999999998,0.0,Breakfast Spot,Discount Store,Convenience Store,Video Store,Intersection,Asian Restaurant,Pizza Place,Shipping Store,Sandwich Place,Salon / Barbershop
Cape Henry,36.92258831466534,-76.0003122960694,2.0,Campground,Public Art,Playground,Beach,Yoga Studio,Fast Food Restaurant,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop
Chesapeake Beach,36.91533000000004,-76.12111999999996,0.0,Surf Spot,Gift Shop,Convenience Store,Beach,Seafood Restaurant,Italian Restaurant,Diner,Drugstore,Donut Shop,Discount Store
Croatan Beach,36.84454000000005,-75.97324999999995,0.0,Hotel,Pizza Place,Ice Cream Shop,Beach,Clothing Store,Seafood Restaurant,Jewelry Store,Sports Bar,Concert Hall,Dessert Shop
Green Run,36.79833000000008,-76.09193999999997,0.0,Restaurant,BBQ Joint,Gym / Fitness Center,Ice Cream Shop,Scenic Lookout,Smoke Shop,Bakery,Hookah Bar,Auto Workshop,Convenience Store
Kempsville,36.82681000000008,-76.16020999999995,6.0,Salon / Barbershop,Fried Chicken Joint,Fast Food Restaurant,Concert Hall,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Diner
Lago Mar,36.75528000000003,-76.05961999999994,0.0,Fast Food Restaurant,Miscellaneous Shop,Smoothie Shop,Coffee Shop,Breakfast Spot,Supermarket,Food,Shipping Store,Salon / Barbershop,Convenience Store
Larkspur,36.819120000000055,-76.13931999999994,0.0,Home Service,Pool,Baseball Field,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Diner
London Bridge,36.84183000000007,-76.05180999999999,0.0,Convenience Store,Intersection,Sandwich Place,Bar,Discount Store,American Restaurant,Restaurant,Greek Restaurant,Bike Shop,Breakfast Spot
Lynnhaven,36.83762000000007,-76.06894999999997,0.0,Pizza Place,ATM,Convenience Store,Playground,Hookah Bar,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Diner
Newtown,36.85361060025568,-76.17788974868094,0.0,Thrift / Vintage Store,Sushi Restaurant,Pizza Place,Convenience Store,Fast Food Restaurant,Hot Dog Joint,Pharmacy,Smoke Shop,Japanese Restaurant,Food
Oceana,36.84248000000008,-76.01320999999996,3.0,Auto Garage,Diner,Yoga Studio,Food,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Discount Store
Ocean Park,36.90903000000003,-76.10184999999996,0.0,Beach,Sporting Goods Shop,Sushi Restaurant,Coffee Shop,Beach Bar,Breakfast Spot,BBQ Joint,Mexican Restaurant,Surf Spot,Farmers Market
Pembroke Manor,36.85185000000007,-76.13634999999994,0.0,Pizza Place,Mediterranean Restaurant,American Restaurant,Donut Shop,Shopping Plaza,Sushi Restaurant,Yoga Studio,Discount Store,Drugstore,Dessert Shop
Princess Anne,36.75158000000005,-76.05378999999994,0.0,Fast Food Restaurant,Italian Restaurant,Seafood Restaurant,Cupcake Shop,Rental Car Location,Gym / Fitness Center,Grocery Store,Drugstore,Concert Hall,Convenience Store
Pungo,36.72358000000003,-76.01770999999997,0.0,Farmers Market,Gas Station,Sandwich Place,Pizza Place,New American Restaurant,Breakfast Spot,Board Shop,Racetrack,Convenience Store,American Restaurant
Red Mill Commons,36.758350000000064,-76.00605999999993,0.0,Big Box Store,Seafood Restaurant,Italian Restaurant,Restaurant,Yoga Studio,Shopping Mall,Shipping Store,Discount Store,Salon / Barbershop,Buffet
Sandbridge,36.730720168026316,-75.97829567828751,0.0,American Restaurant,Seafood Restaurant,Bath House,Farm,Yoga Studio,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store
Thalia,36.84275000000008,-76.12107999999995,0.0,American Restaurant,Furniture / Home Store,Pizza Place,Insurance Office,Burrito Place,Boutique,Shipping Store,Lighting Store,Sandwich Place,Intersection
Thoroughgood,36.89138000000003,-76.12935999999996,1.0,Asian Restaurant,Yoga Studio,Food,Convenience Store,Cosmetics Shop,Cupcake Shop,Department Store,Dessert Shop,Diner,Discount Store
